Cool,Rock,Vodka,7UP/Sprite,F 
Cool,Rock,Vodka,Coca cola/Pepsi,F 
Cool,Pop,Beer,Coca cola/Pepsi,F 
Cool,Pop,Other,Fanta,M 
Cool,Pop,Whiskey,Fanta,M 
Cool,Rock,Vodka,Coca cola/Pepsi,M 
Cool,Rock,Wine,7UP/Sprite,M 
Neutral,Hip Hop,Vodka,Coca cola/Pepsi,F 
Neutral,Pop,Wine,Coca cola/Pepsi,F 
Neutral,Hip Hop,Beer,7UP/Sprite,M 
Neutral,Rock,Doesn't Drink,Coca cola/Pepsi,M 
Neutral,Pop,Doesn't Drink,7UP/Sprite,M 
Warm,Rock,Wine,Coca cola/Pepsi,F 
Warm,Folk/Tradisional,Whiskey,Fanta,F 
Warm,Jazz/Blues,Doesn't Drink,Fanta,F 
Warm,Pop,Whiskey,Fanta,F 
Warm,Rock,Other,7UP/Sprite,F 
Warm,Electronik,Other,Coca cola/Pepsi,M 
Warm,Rock,Vodka,7UP/Sprite,M 
Warm,R&B and Soul,Doesn't Drink,Coca cola/Pepsi,M 
